7036000000,27.5664787292
127168000000,0
%time,field
126468000000,-27.5659999847
245400000000,0
%time,field
126468000000,-30.8920001984
245400000000,0
Trial 29,
%time,field
6832000000,38.1196098328
147076000000,0
%time,field
6832000000,-30.5147609711
147076000000,0
%time,field
146268000000,30.5149993896
287500000000,0
%time,field
146268000000,38.1199989319
287500000000,0
Trial 30,
%time,field
7006000000,20.7449932098
66078000000,0
%time,field
7006000000,0.430360108614
66078000000,0
%time,field
65587000000,-0.430000007153
128516000000,0
%time,field
65587000000,20.7450008392
128516000000,0
Trial 31,
%time,field
6915000000,51.2849464417
163077000000,0
%time,field
6915000000,17.8130283356
163077000000,0
%time,field
162539000000,-17.8129997253
%time,field
162539000000,51.2849998474
Trial 32,
%time,field
7088000000,32.7464599609
%time,field
7088000000,-9.5528345108
Trial 33,
%time,field
6948000000,-26.1328277588
104099000000,0
%time,field
6948000000,-20.5820903778
104099000000,0
%time,field
103407000000,20.5820007324
199348000000,0
%time,field
103407000000,-26.1329994202
199348000000,0
Trial 34,
%time,field
7121000000,-61.4224624634
211392000000,0
%time,field
7121000000,34.0629730225
211392000000,0
%time,field
210421000000,-34.0629997253
%time,field
210421000000,-61.422000885
Trial 35,
%time,field
7115000000,16.6615028381
55170000000,0
%time,field
7115000000,-4.59663057327
55170000000,0
%time,field
55074000000,4.59700012207
104130000000,0
%time,field
55074000000,16.6620006561
104130000000,0
Trial 36,
%time,field
7114000000,53.2947158813
217395000000,0
%time,field
7114000000,-49.9525413513
217395000000,0
%time,field
216829000000,49.952999115
%time,field
216829000000,53.2949981689
Trial 37,
%time,field
7042000000,34.4593963623
112223000000,0
%time,field
7042000000,-12.692360878
112223000000,0
%time,field
111613000000,12.6920003891
218994000000,0
%time,field
111613000000,34.4589996338
218994000000,0
Trial 38,
%time,field
7141000000,40.3684158325
156327000000,0
%time,field
7141000000,-32.9830093384
156327000000,0
%time,field
155957000000,32.983001709
308643000000,0
%time,field
155957000000,40.3680000305
308643000000,0
Trial 39,
%time,field
7063000000,18.0728473663
60101000000,0
%time,field
7063000000,-5.12188529968
60101000000,0
%time,field
59610000000,5.12200021744
114465000000,0
%time,field
59610000000,18.0729999542
114465000000,0
Trial 40,
%time,field
6883000000,-21.4260253906
111023000000,0
%time,field
6883000000,28.7748565674
111023000000,0
%time,field
110677000000,-28.7749996185
218466000000,0
%time,field
110677000000,-21.4260005951
218466000000,0
Trial 41,
%time,field
7001000000,-10.7544775009
97091000000,0
%time,field
