%time,field
7180000000,7.65432357788
%time,field
139573000000,-7.65399980545
%time,field
139573000000,-44.9399986267
Trial 47
%time,field
7319000000,-58.6411056519
%time,field
7319000000,-42.8891029358
Trial 48
%time,field
7366000000,31.0614528656
%time,field
7366000000,-13.0074958801
%time,field
103240000000,13.0069999695
%time,field
103240000000,31.061000824
Trial 49
%time,field
7323000000,15.4427156448
%time,field
7323000000,-12.4169397354
%time,field
63413000000,12.4169998169
%time,field
63413000000,15.4429998398
Trial 50
%time,field
7422000000,-32.1523132324
%time,field
7422000000,31.2215957642
%time,field
151845000000,-31.2220001221
%time,field
151845000000,-32.1520004272
Trial 51
%time,field
7441000000,-61.5513763428
%time,field
7441000000,-40.2567138672
%time,field
219670000000,40.2569999695
%time,field
219670000000,-61.5509986877
Trial 52
%time,field
7190000000,-53.8495178223
%time,field
7190000000,32.7396316528
%time,field
190086000000,-32.7400016785
%time,field
190086000000,-53.8499984741
Trial 53
%time,field
7287000000,60.1859283447
%time,field
7287000000,29.5334358215
%time,field
199305000000,-29.533000946
%time,field
199305000000,60.186000824
Trial 54
%time,field
7272000000,-19.4354610443
%time,field
7272000000,4.96205472946
%time,field
66472000000,-4.96199989319
%time,field
66472000000,-19.4349994659
Trial 55
%time,field
7191000000,-26.2408027649
%time,field
7191000000,27.5806598663
%time,field
117460000000,-27.5809993744
%time,field
117460000000,-26.2409992218
Trial 56
%time,field
7142000000,-58.5946655273
%time,field
7142000000,-38.9756011963
%time,field
211588000000,38.9760017395
%time,field
211588000000,-58.5950012207
Trial 57
%time,field
7242000000,18.6802310944
%time,field
7242000000,-11.1495256424
%time,field
68401000000,11.1499996185
%time,field
68401000000,18.6800003052
Trial 58
%time,field
7114000000,41.8900108337
%time,field
7114000000,-48.6836700439
%time,field
191457000000,48.6839981079
%time,field
191457000000,41.8899993896
Trial 59
%time,field
7262000000,24.3996219635
%time,field
7262000000,-32.9128952026
%time,field
124213000000,32.9129981995
%time,field
124213000000,24.3999996185
Trial 60
%time,field
7332000000,-34.4463882446
%time,field
7332000000,1.80885183811
%time,field
108751000000,-1.80900001526
%time,field
108751000000,-34.4459991455
Trial 61
%time,field
7349000000,1.74722194672
%time,field
7349000000,45.0102920532
%time,field
141957000000,-45.0099983215
%time,field
141957000000,1.74699997902
Trial 62
%time,field
7349000000,-25.2568817139
%time,field
7349000000,-13.5043992996
%time,field
90552000000,13.5039997101
%time,field
90552000000,-25.2569999695
Trial 63
%time,field
7055000000,27.6299133301
%time,field
7055000000,-46.0530090332
%time,field
160654000000,46.0530014038
%time,field
160654000000,27.6299991608
Trial 64
%time,field
7503000000,20.8299388885
%time,field
7503000000,-1.62065041065
%time,field
66602000000,1.6210000515
%time,field
66602000000,20.8299999237
Trial 65
%time,field
7252000000,-0.423924058676
%time,field
7252000000,-20.0932159424
%time,field
64466000000,20.093000412
%time,field
64466000000,-0.423999994993
Trial 66
%time,field
7345000000,-24.3472614288
%time,field
7345000000,25.4062404633
%time,field
108266000000,-25.4060001373
%time,field
108266000000,-24.3470001221
Trial 67
%time,field
7372000000,55.8060836792
%time,field
7372000000,44.5354385376
%time,field
212564000000,-44.5349998474
%time,field
212564000000,55.8059997559
Trial 68
%time,field
7307000000,-34.4542808533
%time,field
7307000000,19.3040790558
%time,field
121852000000,-19.3040008545
%time,field
121852000000,-34.4539985657
Trial 69
Trial 70
%time,field
7409000000,-46.1313400269
%time,field
7409000000,25.8127918243
Trial 71
%time,field
7442000000,9.36433410645
%time,field
7442000000,-22.4759254456
%time,field
76384000000,22.4759998322
%time,field
76384000000,9.36400032043
Trial 72
%time,field
7417000000,-0.713662326336
%time,field
7417000000,-62.6962585449
%time,field
187073000000,62.6959991455
%time,field
187073000000,-0.713999986649
Trial 73
%time,field
7381000000,62.5207328796
%time,field
7381000000,-27.6509342194
%time,field
203587000000,27.6509990692
%time,field
203587000000,62.5209999084
Trial 74
%time,field
7420000000,-30.8735694885
%time,field
7420000000,19.6694869995
%time,field
113870000000,-19.6690006256
%time,field
113870000000,-30.8740005493
Trial 75
%time,field
7840000000,29.3977642059
%time,field
7840000000,-50.1603813171
%time,field
174490000000,50.1599998474
%time,field
174490000000,29.3980007172
Trial 76
%time,field
7375000000,-5.91686964035
%time,field
7375000000,-62.5289497375
%time,field
186697000000,62.5289993286
%time,field
186697000000,-5.91699981689
Trial 77
%time,field
7299000000,31.2567996979
%time,field
7299000000,-43.9797782898
%time,field
161997000000,43.9799995422
%time,field
161997000000,31.2569999695
Trial 78
%time,field
7315000000,-39.0713844299
%time,field
7315000000,5.17185497284
%time,field
123025000000,-5.17199993134
%time,field
123025000000,-39.0709991455
Trial 79
%time,field
7142000000,-59.2799034119
%time,field
7142000000,-39.1109733582
%time,field
213063000000,39.111000061
%time,field
213063000000,-59.2799987793
Trial 80
%time,field
7194000000,24.8636188507
%time,field
7194000000,1.27601826191
%time,field
77028000000,-1.27600002289
%time,field
77028000000,24.8640003204
Trial 81
%time,field
7464000000,-18.9952354431
%time,field
7464000000,-14.0174856186
%time,field
76280000000,14.0170001984
%time,field
76280000000,-18.9950008392
Trial 82
%time,field
7292000000,-31.1565818787
%time,field
7292000000,-12.4995174408
%time,field
105884000000,12.5
%time,field
105884000000,-31.156999588
Trial 83
%time,field
7362000000,-55.9686813354
%time,field
7362000000,-7.72623348236
%time,field
172523000000,7.72599983215
%time,field
172523000000,-55.96900177
Trial 84
%time,field
7193000000,8.00809001923
%time,field
7193000000,-19.1336898804
%time,field
66033000000,19.1340007782
%time,field
66033000000,8.00800037384
Trial 85
%time,field
7542000000,21.0833854675
%time,field
7542000000,-7.54570388794
%time,field
70629000000,7.54600000381
%time,field
70629000000,21.0830001831
Trial 86
%time,field
7419000000,23.1915664673
%time,field
7419000000,-12.1828536987
%time,field
81301000000,12.1829996109
%time,field
81301000000,23.1919994354
Trial 87
Trial 88
%time,field
7416000000,16.9965877533
%time,field
7416000000,-0.606070935726
%time,field
54388000000,0.606000006199
%time,field
54388000000,16.9969997406
Trial 89
%time,field
7440000000,9.38402271271
%time,field
7440000000,-60.219493866
%time,field
181607000000,60.21900177
%time,field
181607000000,9.38399982452
Trial 90
%time,field
7344000000,-15.7281961441
%time,field
7344000000,1.02915108204
%time,field
54612000000,-1.02900004387
%time,field
54612000000,-15.7279996872
Trial 91
%time,field
7272000000,43.0736961365
%time,field
7272000000,-55.7163314819
Trial 92
%time,field
7405000000,17.9108963013
%time,field
7405000000,7.45379686356
%time,field
61842000000,-7.45399999619
%time,field
61842000000,17.9109992981
Trial 93
%time,field
7211000000,24.6266021729
%time,field
7211000000,-53.6014251709
%time,field
176455000000,53.6010017395
%time,field
176455000000,24.6270008087
Trial 94
%time,field
7241000000,-58.1929512024
%time,field
7241000000,-60.1620483398
Trial 95
%time,field
7292000000,50.1600914001
%time,field
7292000000,-29.4175491333
%time,field
173794000000,29.4179992676
%time,field
173794000000,50.1599998474
Trial 96
%time,field
7029000000,18.8618965149
%time,field
7029000000,-4.42011165619
%time,field
61161000000,4.42000007629
%time,field
61161000000,18.8619995117
Trial 97
%time,field
7258000000,36.2465553284
%time,field
7258000000,-50.2334747314
%time,field
184991000000,50.233001709
%time,field
184991000000,36.2470016479
Trial 98
%time,field
7324000000,25.0232486725
%time,field
7324000000,-32.6547546387
%time,field
124063000000,32.6549987793
%time,field
124063000000,25.0230007172
Trial 99
%time,field
7305000000,-29.7439250946
%time,field
7305000000,30.6078586578
